Nama Dosen;Program Studi;Kepakaran;URL Profil
Alfinna Mahya Ummati, S.T., M.T., M.Sc.;Teknik Sipil;Alfinna Mahya Ummati, Teknik Sipil, Civil Engineering, Struktur, National Central University, Institut Teknologi Sumatera, ITERA;https://directory.itera.ac.id/researcher/id/gpKIfJRhY6%2BabWVhk4angZCWY2uXaGVjmIN1fY9oY2Vna2hiY4WngA%3D%3D
Erdina Tyagita Utami, S.T., M.T.;Teknik Sipil;Slope stability, Retaining Walls, Soil Mechanics, Soil Improvement;https://directory.itera.ac.id/researcher/id/gpKIfJRhZK9lbWVpl6%2BmfJhiZ2lsmWhnmH6nhZZqamZtmJdpZ7B2gg%3D%3D
Mashuri, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJRhZa9qmpRoa6%2BigI%2BSk2xrmJVlk396sJFoZ5VlZWNnZrN5gw%3D%3D
Dr. Miskar Maini, S.T., M.Eng.;Teknik Sipil;Fluvial Hydraulic, Sediment Transport, Turbulence, River Engineering, Water Resources;https://directory.itera.ac.id/researcher/id/gpKIfJRhZq9nmmlmaoNysJOSmGiWm5RjZ4R0go9qaWOVZ2OXZoN1fg%3D%3D
Siska Apriwelni, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJRhaK9ta2KVarF1fJOXlZmWZ2RqYrN2f8RhZGtqmWGUlq%2BmgA%3D%3D
Junita Eka Susanti, S.T., M.Eng.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJRlaq%2BXZWZhY7N4ssSXZ2ZnbWFhYn5yfMFnZ2psa5Jhln6kfA%3D%3D
M. Bobby Rahman, S.T., M.Si.(Han), Ph.D.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfI9paa9nlmFllYFyhY9plphlbmhkaoV3fpBpmJVna5dkk4OisA%3D%3D
Asirin, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBiZK9ommFkk4GkhZiSk2NrmWVpZbJ3fZeWY2mabWaUa4Z5hA%3D%3D
Helmia Adita Fitra, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBla69oa2Rlk4RxfphmY2tnl2RmaX14hZKWZGVkaGNoYn2jfg%3D%3D
Dr. nat. techn. Shahnaz Nabila Fuady, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBmYq%2BWmZNkaISlf8Ril2SWbZSWYrB1rcCXlJeabZSXZrOjfQ%3D%3D
Dr. Husna Tiara Putri, S.T., M.T.;Perencanaan Wilayah dan Kota;;https://directory.itera.ac.id/researcher/id/gpKIfJBmaa9nm2Vql4Z3r8VoZWVoZpKTaH91fphhZZWWmWeSZX6kgQ%3D%3D
